year,month,day,team_1_code,team_2_code,team_1_goals,team_2_goals,tournament_code,host_code,team_1_rating_change,team_1_rating,team_2_rating,team_1_rank_change,team_2_rank_change,team_1_rank,team_2_rank,match_date,extracted_at,source
2026,3,28,GU,AS,6,0,FFS,PR,8,718,369,0,0,217,244,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,PR,VI,2,0,FFS,,1,1138,628,0,−1,165,230,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,BW,ZW,0,3,MKR,,-29,1256,1371,−4,+11,148,111,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,BF,GW,5,0,F,,4,1538,1240,+1,0,77,151,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,CA,IS,2,2,FT,,-11,1794,1573,0,+2,25,68,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,HU,SI,1,0,F,,7,1705,1688,+3,0,44,49,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,CI,KR,4,0,F,EN,26,1663,1758,+4,−4,53,31,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,MG,KG,5,2,F,TR,14,1382,1291,+5,−6,107,141,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,MX,PT,0,0,F,,1,1858,1975,−1,0,21,6,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,SM,FO,1,2,F,,-1,832,1382,0,0,207,107,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,SQ,JP,0,1,F,,-10,1780,1888,−1,+2,27,14,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,SN,PE,2,0,F,FR,8,1877,1699,+1,−3,17,47,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,TN,HT,1,0,FT,CA,12,1626,1530,0,−4,61,79,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,28,US,BE,2,5,F,,-17,1730,1867,−6,+2,40,19,2026-03-28,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,GY,DM,2,0,CFS,DO,6,1281,932,0,−1,145,195,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,SX,BZ,3,2,CFS,DO,21,977,1084,+3,0,188,176,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,TD,BI,0,4,FQ,,-35,1085,1274,−4,+4,175,147,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,ET,ST,3,0,FQ,MA,16,1280,1040,+1,0,146,180,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,MU,SO,0,0,FQ,MZ,-7,1084,968,+1,0,176,190,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,AU,CM,1,0,FFS,,5,1779,1601,0,0,29,62,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,AZ,LC,6,1,FFS,,5,1344,1003,+2,−2,120,185,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,BG,SB,10,2,FFS,ID,8,1461,1082,+2,0,87,178,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,CL,CV,4,2,FFS,NZ,12,1743,1549,+3,−1,36,73,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,CN,CW,2,0,FFS,AU,26,1436,1440,+8,−3,91,90,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,EE,KE,1,1,FFS,RW,-1,1358,1345,0,0,114,117,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,ID,KN,4,0,FFS,,4,1345,1001,+4,−1,117,186,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,NZ,FI,0,2,FFS,,-33,1552,1542,−5,+5,71,75,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,RW,GD,4,0,FFS,,9,1317,1110,+3,−1,131,173,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,UZ,GA,3,1,FFS,,4,1732,1401,0,−1,40,102,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,VE,TT,4,1,FFS,UZ,7,1722,1392,0,−1,43,104,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,DZ,GT,7,0,F,IT,11,1739,1515,+3,−1,37,80,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,AR,MR,2,1,F,,0,2113,1311,0,−1,2,134,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,AT,GH,5,1,F,,3,1821,1506,0,−1,23,81,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,BJ,LR,1,0,F,MA,7,1417,1292,−1,−4,100,141,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,CR,JO,2,2,NSM,TR,2,1635,1687,+1,0,59,50,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,EC,MA,1,1,F,ES,-4,1929,1810,0,0,10,24,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,EN,UY,1,1,F,,-6,2036,1896,0,+1,4,13,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,GR,PY,0,1,F,,-11,1750,1844,−2,0,33,22,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,GN,TG,2,2,F,MA,-4,1481,1346,0,+3,85,116,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,LY,NE,0,0,F,MA,-1,1424,1405,−2,+1,94,101,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,ME,AD,2,0,F,,2,1445,1081,+1,0,89,179,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,NL,NO,2,1,F,,6,1965,1916,0,−1,8,12,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,NG,IR,2,1,NSM,TR,16,1755,1739,+4,−4,32,37,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,RU,NI,3,1,F,,1,1783,1327,0,−1,28,127,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,SA,EG,0,4,F,,-21,1571,1680,−4,+2,68,51,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
